month,revenue,orders,units,aov,revenue_prior_month,mom_revenue_growth_pct
2019-01-01,273.5,2,3,136.75,,
2019-02-01,466.98,5,5,93.4,273.5,70.74
2019-03-01,324.03,9,9,36.0,466.98,-30.61
2019-04-01,989.36,12,18,82.45,324.03,205.33
2019-05-01,430.3,11,12,39.12,989.36,-56.51
2019-06-01,1155.87,22,24,52.54,430.3,168.62
2019-07-01,2814.73,32,47,87.96,1155.87,143.52
2019-08-01,2724.83,34,57,80.14,2814.73,-3.19
2019-09-01,1953.24,26,36,75.12,2724.83,-28.32
2019-10-01,2677.84,36,58,74.38,1953.24,37.1
2019-11-01,3483.18,43,58,81.0,2677.84,30.07
2019-12-01,5468.05,50,68,109.36,3483.18,56.98
2020-01-01,3806.93,40,61,95.17,5468.05,-30.38
2020-02-01,4539.44,51,74,89.01,3806.93,19.24
2020-03-01,6416.84,77,112,83.34,4539.44,41.36
2020-04-01,5548.81,62,95,89.5,6416.84,-13.53
2020-05-01,6513.54,76,111,85.7,5548.81,17.39
2020-06-01,7500.21,79,131,94.94,6513.54,15.15
2020-07-01,7527.74,80,111,94.1,7500.21,0.37
2020-08-01,5559.61,70,86,79.42,7527.74,-26.15
2020-09-01,7484.82,76,108,98.48,5559.61,34.63
2020-10-01,6682.23,90,134,74.25,7484.82,-10.72
2020-11-01,9991.35,91,134,109.8,6682.23,49.52
2020-12-01,10896.3,116,165,93.93,9991.35,9.06
2021-01-01,9208.06,100,143,92.08,10896.3,-15.49
2021-02-01,8842.77,102,151,86.69,9208.06,-3.97
2021-03-01,9284.45,102,163,91.02,8842.77,4.99
2021-04-01,11737.24,134,186,87.59,9284.45,26.42
2021-05-01,7907.56,112,153,70.6,11737.24,-32.63
2021-06-01,9455.25,119,164,79.46,7907.56,19.57
2021-07-01,11910.06,137,204,86.93,9455.25,25.96
2021-08-01,13782.28,161,231,85.6,11910.06,15.72
2021-09-01,12544.96,139,196,90.25,13782.28,-8.98
2021-10-01,11611.44,146,210,79.53,12544.96,-7.44
2021-11-01,13321.71,153,224,87.07,11611.44,14.73
2021-12-01,13567.09,154,217,88.1,13321.71,1.84
2022-01-01,15318.06,183,268,83.71,13567.09,12.91
2022-02-01,13092.23,162,222,80.82,15318.06,-14.53
2022-03-01,17328.94,187,271,92.67,13092.23,32.36
2022-04-01,14122.18,181,248,78.02,17328.94,-18.51
2022-05-01,15769.79,173,236,91.15,14122.18,11.67
2022-06-01,14297.71,185,256,77.28,15769.79,-9.33
2022-07-01,15400.9,192,266,80.21,14297.71,7.72
2022-08-01,22443.32,221,334,101.55,15400.9,45.73
2022-09-01,16829.21,195,289,86.3,22443.32,-25.01
2022-10-01,18311.06,223,304,82.11,16829.21,8.81
2022-11-01,17459.08,226,306,77.25,18311.06,-4.65
2022-12-01,17760.51,233,318,76.23,17459.08,1.73
2023-01-01,24598.52,277,393,88.8,17760.51,38.5
2023-02-01,20979.83,259,347,81.0,24598.52,-14.71
2023-03-01,19805.88,278,354,71.24,20979.83,-5.6
2023-04-01,22474.36,259,366,86.77,19805.88,13.47
2023-05-01,26033.41,312,442,83.44,22474.36,15.84
2023-06-01,22712.27,279,410,81.41,26033.41,-12.76
2023-07-01,26848.37,301,427,89.2,22712.27,18.21
2023-08-01,24705.85,313,426,78.93,26848.37,-7.98
2023-09-01,28787.62,317,454,90.81,24705.85,16.52
2023-10-01,26190.63,329,454,79.61,28787.62,-9.02
2023-11-01,28990.76,368,513,78.78,26190.63,10.69
2023-12-01,24859.98,309,433,80.45,28990.76,-14.25
2024-01-01,31600.53,387,563,81.66,24859.98,27.11
2024-02-01,27522.61,340,507,80.95,31600.53,-12.9
2024-03-01,29388.54,365,505,80.52,27522.61,6.78
2024-04-01,31067.35,357,527,87.02,29388.54,5.71
2024-05-01,35954.68,419,581,85.81,31067.35,15.73
2024-06-01,34986.28,410,586,85.33,35954.68,-2.69
2024-07-01,39654.77,471,696,84.19,34986.28,13.34
2024-08-01,40138.29,460,695,87.26,39654.77,1.22
2024-09-01,37564.32,429,616,87.56,40138.29,-6.41
2024-10-01,40987.36,479,676,85.57,37564.32,9.11
2024-11-01,45999.39,500,713,92.0,40987.36,12.23
2024-12-01,43308.13,504,724,85.93,45999.39,-5.85
2025-01-01,46010.64,503,753,91.47,43308.13,6.24
2025-02-01,40719.93,506,718,80.47,46010.64,-11.5
2025-03-01,48612.96,515,756,94.39,40719.93,19.38
2025-04-01,54153.4,597,844,90.71,48612.96,11.4
2025-05-01,52400.94,658,920,79.64,54153.4,-3.24
2025-06-01,46381.16,561,790,82.68,52400.94,-11.49
2025-07-01,46559.02,622,862,74.85,46381.16,0.38
2025-08-01,54735.83,631,899,86.74,46559.02,17.56
2025-09-01,56557.24,663,946,85.31,54735.83,3.33
2025-10-01,58495.52,730,1031,80.13,56557.24,3.43
2025-11-01,62262.52,735,1033,84.71,58495.52,6.44
2025-12-01,66964.14,772,1107,86.74,62262.52,7.55
2026-01-01,70705.5,849,1183,83.28,66964.14,5.59
2026-02-01,64621.09,753,1068,85.82,70705.5,-8.61
2026-03-01,79280.7,910,1304,87.12,64621.09,22.69
2026-04-01,81907.4,929,1395,88.17,79280.7,3.31
2026-05-01,83628.68,1003,1410,83.38,81907.4,2.1
2026-06-01,92754.03,1113,1548,83.34,83628.68,10.91
2026-07-01,113238.58,1284,1800,88.19,92754.03,22.08
2026-08-01,115301.03,1443,2034,79.9,113238.58,1.82
