month,active_customers,new_customers,returning_customers,revenue_new,revenue_returning,pct_revenue_from_returning
2019-01-01,2,2,0,273.5,0.0,0.0
2019-02-01,5,5,0,466.98,0.0,0.0
2019-03-01,9,9,0,324.03,0.0,0.0
2019-04-01,12,12,0,989.36,0.0,0.0
2019-05-01,11,11,0,430.3,0.0,0.0
2019-06-01,22,22,0,1155.87,0.0,0.0
2019-07-01,32,32,0,2814.73,0.0,0.0
2019-08-01,33,32,1,2644.33,80.5,2.95
2019-09-01,26,25,1,1823.25,129.99,6.66
2019-10-01,36,35,1,2579.84,98.0,3.66
2019-11-01,43,39,4,3166.24,316.94,9.1
2019-12-01,50,48,2,5296.49,171.56,3.14
2020-01-01,40,38,2,3598.16,208.77,5.48
2020-02-01,51,50,1,4513.44,26.0,0.57
2020-03-01,77,74,3,6254.93,161.91,2.52
2020-04-01,62,61,1,5505.81,43.0,0.77
2020-05-01,76,67,9,6245.94,267.6,4.11
2020-06-01,78,74,4,7112.67,387.54,5.17
2020-07-01,80,76,4,7356.85,170.89,2.27
2020-08-01,70,63,7,5038.92,520.69,9.37
2020-09-01,76,71,5,7161.08,323.74,4.33
2020-10-01,90,86,4,6496.25,185.98,2.78
2020-11-01,91,89,2,9754.55,236.8,2.37
2020-12-01,115,111,4,10540.5,355.8,3.27
2021-01-01,100,94,6,8508.76,699.3,7.59
2021-02-01,102,96,6,8250.73,592.04,6.7
2021-03-01,102,93,9,8151.01,1133.44,12.21
2021-04-01,132,123,9,10242.64,1494.6,12.73
2021-05-01,112,106,6,7224.66,682.9,8.64
2021-06-01,119,113,6,9011.32,443.93,4.7
2021-07-01,137,132,5,11729.11,180.95,1.52
2021-08-01,160,151,9,13136.2,646.08,4.69
2021-09-01,139,127,12,11190.92,1354.04,10.79
2021-10-01,146,137,9,10654.54,956.9,8.24
2021-11-01,152,139,13,12239.74,1081.97,8.12
2021-12-01,154,140,14,12432.53,1134.56,8.36
2022-01-01,182,171,11,14491.59,826.47,5.4
2022-02-01,162,153,9,12189.64,902.59,6.89
2022-03-01,187,174,13,16494.85,834.09,4.81
2022-04-01,181,170,11,13463.95,658.23,4.66
2022-05-01,173,157,16,13221.58,2548.21,16.16
2022-06-01,185,172,13,13352.8,944.91,6.61
2022-07-01,192,177,15,14482.11,918.79,5.97
2022-08-01,221,201,20,20466.82,1976.5,8.81
2022-09-01,195,174,21,15074.7,1754.51,10.43
2022-10-01,223,207,16,16849.6,1461.46,7.98
2022-11-01,226,205,21,15848.98,1610.1,9.22
2022-12-01,233,205,28,15688.51,2072.0,11.67
2023-01-01,277,253,24,22956.65,1641.87,6.67
2023-02-01,258,234,24,19563.07,1416.76,6.75
2023-03-01,278,254,24,18371.3,1434.58,7.24
2023-04-01,259,234,25,20557.56,1916.8,8.53
2023-05-01,310,280,30,24102.04,1931.37,7.42
2023-06-01,276,245,31,20680.77,2031.5,8.94
2023-07-01,301,268,33,23914.04,2934.33,10.93
2023-08-01,312,278,34,21978.28,2727.57,11.04
2023-09-01,316,286,30,25257.25,3530.37,12.26
2023-10-01,328,298,30,23093.2,3097.43,11.83
2023-11-01,366,328,38,26239.33,2751.43,9.49
2023-12-01,309,279,30,22540.1,2319.88,9.33
2024-01-01,385,342,43,27546.78,4053.75,12.83
2024-02-01,339,303,36,24994.19,2528.42,9.19
2024-03-01,365,332,33,26915.32,2473.22,8.42
2024-04-01,357,323,34,27932.94,3134.41,10.09
2024-05-01,419,389,30,32997.51,2957.17,8.22
2024-06-01,408,354,54,30136.05,4850.23,13.86
2024-07-01,469,422,47,36218.14,3436.63,8.67
2024-08-01,458,395,63,35193.47,4944.82,12.32
2024-09-01,429,391,38,34983.54,2580.78,6.87
2024-10-01,476,416,60,35615.52,5371.84,13.11
2024-11-01,500,436,64,39682.85,6316.54,13.73
2024-12-01,502,454,48,38320.74,4987.39,11.52
2025-01-01,503,430,73,38545.37,7465.27,16.23
2025-02-01,505,430,75,34356.33,6363.6,15.63
2025-03-01,512,446,66,43237.84,5375.12,11.06
2025-04-01,594,504,90,47142.25,7011.15,12.95
2025-05-01,656,572,84,46077.65,6323.29,12.07
2025-06-01,560,469,91,37053.38,9327.78,20.11
2025-07-01,621,521,100,39292.06,7266.96,15.61
2025-08-01,628,537,91,46737.75,7998.08,14.61
2025-09-01,660,566,94,49615.62,6941.62,12.27
2025-10-01,726,613,113,49813.2,8682.32,14.84
2025-11-01,731,633,98,54649.64,7612.88,12.23
2025-12-01,768,659,109,57300.51,9663.63,14.43
2026-01-01,840,686,154,56689.05,14016.45,19.82
2026-02-01,751,609,142,52021.72,12599.37,19.5
2026-03-01,903,743,160,65676.15,13604.55,17.16
2026-04-01,924,763,161,68078.36,13829.04,16.88
2026-05-01,991,829,162,69782.43,13846.25,16.56
2026-06-01,1102,906,196,78793.57,13960.46,15.05
2026-07-01,1261,1051,210,97390.27,15848.31,14.0
2026-08-01,1415,1145,270,91205.06,24095.97,20.9
