cohort_month,cohort_customers,months_since_first,active_customers,retention_pct
2019-01-01,2,0,2,100.0
2019-02-01,5,0,5,100.0
2019-02-01,5,82,1,20.0
2019-02-01,5,83,1,20.0
2019-03-01,9,0,9,100.0
2019-03-01,9,14,1,11.11
2019-04-01,12,0,12,100.0
2019-04-01,12,8,1,8.33
2019-04-01,12,17,1,8.33
2019-04-01,12,60,1,8.33
2019-05-01,11,0,11,100.0
2019-05-01,11,48,1,9.09
2019-05-01,11,63,1,9.09
2019-06-01,22,0,22,100.0
2019-06-01,22,11,1,4.55
2019-06-01,22,18,1,4.55
2019-06-01,22,21,1,4.55
2019-06-01,22,29,1,4.55
2019-06-01,22,69,1,4.55
2019-06-01,22,76,1,4.55
2019-06-01,22,80,1,4.55
2019-07-01,32,0,32,100.0
2019-07-01,32,1,1,3.13
2019-07-01,32,4,1,3.13
2019-07-01,32,27,1,3.13
2019-07-01,32,38,1,3.13
2019-07-01,32,42,1,3.13
2019-07-01,32,50,1,3.13
2019-07-01,32,63,1,3.13
2019-07-01,32,68,1,3.13
2019-07-01,32,84,1,3.13
2019-08-01,32,0,32,100.0
2019-08-01,32,1,1,3.13
2019-08-01,32,44,1,3.13
2019-09-01,25,0,25,100.0
2019-09-01,25,1,1,4.0
2019-09-01,25,10,1,4.0
2019-09-01,25,11,1,4.0
2019-09-01,25,13,1,4.0
2019-09-01,25,25,1,4.0
2019-09-01,25,33,1,4.0
2019-09-01,25,39,1,4.0
2019-09-01,25,43,1,4.0
2019-09-01,25,63,1,4.0
2019-10-01,35,0,35,100.0
2019-10-01,35,1,3,8.57
2019-10-01,35,3,1,2.86
2019-10-01,35,5,1,2.86
2019-10-01,35,7,1,2.86
2019-10-01,35,8,1,2.86
2019-10-01,35,18,1,2.86
2019-10-01,35,53,1,2.86
2019-10-01,35,58,1,2.86
2019-11-01,39,0,39,100.0
2019-11-01,39,1,1,2.56
2019-11-01,39,6,1,2.56
2019-11-01,39,18,1,2.56
2019-11-01,39,19,1,2.56
2019-11-01,39,26,1,2.56
2019-11-01,39,28,1,2.56
2019-11-01,39,31,1,2.56
2019-11-01,39,32,1,2.56
