month,active_customers,churned_customers_90d,churn_rate_90d,measurable
2019-01-01,2,2,100.0,true
2019-02-01,5,5,100.0,true
2019-03-01,9,9,100.0,true
2019-04-01,12,12,100.0,true
2019-05-01,11,11,100.0,true
2019-06-01,22,22,100.0,true
2019-07-01,32,31,96.88,true
2019-08-01,33,32,96.97,true
2019-09-01,26,25,96.15,true
2019-10-01,36,32,88.89,true
2019-11-01,43,42,97.67,true
2019-12-01,50,49,98.0,true
2020-01-01,40,39,97.5,true
2020-02-01,51,49,96.08,true
2020-03-01,77,74,96.1,true
2020-04-01,62,59,95.16,true
2020-05-01,76,74,97.37,true
2020-06-01,78,75,96.15,true
2020-07-01,80,76,95.0,true
2020-08-01,70,66,94.29,true
2020-09-01,76,72,94.74,true
2020-10-01,90,88,97.78,true
2020-11-01,91,91,100.0,true
2020-12-01,115,110,95.65,true
2021-01-01,100,95,95.0,true
2021-02-01,102,97,95.1,true
2021-03-01,102,100,98.04,true
2021-04-01,132,129,97.73,true
2021-05-01,112,110,98.21,true
2021-06-01,119,115,96.64,true
2021-07-01,137,133,97.08,true
2021-08-01,160,154,96.25,true
2021-09-01,139,133,95.68,true
2021-10-01,146,138,94.52,true
2021-11-01,152,147,96.71,true
2021-12-01,154,150,97.4,true
2022-01-01,182,177,97.25,true
2022-02-01,162,158,97.53,true
2022-03-01,187,181,96.79,true
2022-04-01,181,177,97.79,true
2022-05-01,173,168,97.11,true
2022-06-01,185,177,95.68,true
2022-07-01,192,183,95.31,true
2022-08-01,221,215,97.29,true
2022-09-01,195,189,96.92,true
2022-10-01,223,213,95.52,true
2022-11-01,226,216,95.58,true
2022-12-01,233,225,96.57,true
2023-01-01,277,270,97.47,true
2023-02-01,258,254,98.45,true
2023-03-01,278,267,96.04,true
2023-04-01,259,252,97.3,true
2023-05-01,310,302,97.42,true
2023-06-01,276,267,96.74,true
2023-07-01,301,293,97.34,true
2023-08-01,312,305,97.76,true
2023-09-01,316,306,96.84,true
2023-10-01,328,316,96.34,true
2023-11-01,366,353,96.45,true
2023-12-01,309,298,96.44,true
2024-01-01,385,374,97.14,true
2024-02-01,339,334,98.53,true
2024-03-01,365,352,96.44,true
2024-04-01,357,345,96.64,true
2024-05-01,419,395,94.27,true
2024-06-01,408,397,97.3,true
2024-07-01,469,447,95.31,true
2024-08-01,458,441,96.29,true
2024-09-01,429,415,96.74,true
2024-10-01,476,455,95.59,true
2024-11-01,500,482,96.4,true
2024-12-01,502,484,96.41,true
2025-01-01,503,483,96.02,true
2025-02-01,505,487,96.44,true
2025-03-01,512,490,95.7,true
2025-04-01,594,573,96.46,true
2025-05-01,656,628,95.73,true
2025-06-01,560,535,95.54,true
2025-07-01,621,579,93.24,true
2025-08-01,628,601,95.7,true
2025-09-01,660,635,96.21,true
2025-10-01,726,687,94.63,true
2025-11-01,731,688,94.12,true
2025-12-01,768,725,94.4,true
2026-01-01,840,789,93.93,true
2026-02-01,751,700,93.21,true
2026-03-01,903,835,92.47,true
2026-04-01,924,870,94.16,true
2026-05-01,991,922,93.04,true
2026-06-01,1102,1035,93.92,false
2026-07-01,1261,1194,94.69,false
2026-08-01,1415,1415,100.0,false
