month,period,orders,orders_ge_100,pct_orders_over_threshold,revenue,aov,aov_ge_100,aov_lt_100,gross_profit
2021-01-01,pre,53,14,26.42,4727.57,89.2,226.31,39.98,2497.33
2021-02-01,pre,99,29,29.29,8737.93,88.26,196.1,43.59,4475.62
2021-03-01,pre,100,32,32.0,9677.63,96.78,202.13,47.2,5040.33
2021-04-01,pre,132,36,27.27,11355.18,86.02,211.98,38.79,5899.7
2021-05-01,pre,110,25,22.73,7894.12,71.76,185.19,38.4,4117.41
2021-06-01,pre,117,36,30.77,9560.76,81.72,168.09,43.33,5063.77
2021-07-01,pre,134,38,28.36,12073.89,90.1,208.5,43.24,6238.69
2021-08-01,pre,159,41,25.79,13685.76,86.07,199.68,46.6,7129.42
2021-09-01,pre,135,40,29.63,12417.98,91.99,211.41,41.7,6481.36
2021-10-01,pre,144,34,23.61,11774.64,81.77,193.13,47.35,6011.48
2021-11-01,pre,151,35,23.18,13166.94,87.2,225.53,45.46,6905.04
2021-12-01,pre,151,48,31.79,13709.35,90.79,189.46,44.81,7190.0
2022-01-01,post,180,47,26.11,15486.75,86.04,204.36,44.22,8113.56
2022-02-01,post,158,45,28.48,12767.78,80.81,173.73,43.8,6645.84
2022-03-01,post,185,60,32.43,17414.22,94.13,205.19,40.82,9167.45
2022-04-01,post,179,40,22.35,14111.17,78.83,197.46,44.7,7383.48
2022-05-01,post,169,44,26.04,15754.75,93.22,237.42,42.47,8237.44
2022-06-01,post,181,48,26.52,14797.16,81.75,176.22,47.66,7750.57
2022-07-01,post,185,44,23.78,15734.07,85.05,220.12,42.9,8092.53
2022-08-01,post,215,75,34.88,22201.29,103.26,216.7,42.49,11421.94
2022-09-01,post,189,57,30.16,16205.68,85.74,180.61,44.78,8282.3
2022-10-01,post,221,64,28.96,18502.0,83.72,184.66,42.57,9590.29
2022-11-01,post,221,52,23.53,17751.87,80.33,197.81,44.18,9138.77
2022-12-01,post,226,55,24.34,17370.69,76.86,178.39,44.21,8971.55
2023-01-01,post,107,36,33.64,11049.24,103.26,214.42,46.9,5724.83
