month,period,orders,simulated_top_ups,pct_ge_100_actual,aov_actual,revenue_actual,gross_profit_actual,pct_ge_100_sim,aov_sim,revenue_sim,gross_profit_sim,shipping_absorbed_sim,gross_profit_after_shipping_sim
2021-01-01,pre,53,0,26.42,89.2,4727.57,2497.33,26.42,89.2,4727.57,2497.33,0.0,2497.33
2021-02-01,pre,99,0,29.29,88.26,8737.93,4475.62,29.29,88.26,8737.93,4475.62,0.0,4475.62
2021-03-01,pre,100,0,32.0,96.78,9677.63,5040.33,32.0,96.78,9677.63,5040.33,0.0,5040.33
2021-04-01,pre,132,0,27.27,86.02,11355.18,5899.7,27.27,86.02,11355.18,5899.7,0.0,5899.7
2021-05-01,pre,110,0,22.73,71.76,7894.12,4117.41,22.73,71.76,7894.12,4117.41,0.0,4117.41
2021-06-01,pre,117,0,30.77,81.72,9560.76,5063.77,30.77,81.72,9560.76,5063.77,0.0,5063.77
2021-07-01,pre,134,0,28.36,90.1,12073.89,6238.69,28.36,90.1,12073.89,6238.69,0.0,6238.69
2021-08-01,pre,159,0,25.79,86.07,13685.76,7129.42,25.79,86.07,13685.76,7129.42,0.0,7129.42
2021-09-01,pre,135,0,29.63,91.99,12417.98,6481.36,29.63,91.99,12417.98,6481.36,0.0,6481.36
2021-10-01,pre,144,0,23.61,81.77,11774.64,6011.48,23.61,81.77,11774.64,6011.48,0.0,6011.48
2021-11-01,pre,151,0,23.18,87.2,13166.94,6905.04,23.18,87.2,13166.94,6905.04,0.0,6905.04
2021-12-01,pre,151,0,31.79,90.79,13709.35,7190.0,31.79,90.79,13709.35,7190.0,0.0,7190.0
2022-01-01,post,180,2,26.11,86.04,15486.75,8113.56,27.22,86.33,15539.68,8141.55,1169.0,6972.55
2022-02-01,post,158,11,28.48,80.81,12767.78,6645.84,35.44,82.52,13038.24,6778.8,2127.0,4651.8
2022-03-01,post,185,7,32.43,94.13,17414.22,9167.45,36.22,95.03,17581.06,9251.28,2380.0,6871.28
2022-04-01,post,179,7,22.35,78.83,14111.17,7383.48,26.26,79.65,14257.75,7453.83,1735.0,5718.83
2022-05-01,post,169,9,26.04,93.22,15754.75,8237.44,31.36,94.76,16014.1,8369.2,2228.0,6141.2
2022-06-01,post,181,7,26.52,81.75,14797.16,7750.57,30.39,83.02,15026.53,7867.14,2261.0,5606.14
2022-07-01,post,185,6,23.78,85.05,15734.07,8092.53,27.03,86.26,15957.81,8208.59,2086.0,6122.59
2022-08-01,post,215,3,34.88,103.26,22201.29,11421.94,36.28,103.53,22258.19,11447.81,3300.0,8147.81
2022-09-01,post,189,5,30.16,85.74,16205.68,8282.3,32.8,86.28,16307.63,8338.3,2402.0,5936.3
2022-10-01,post,221,9,28.96,83.72,18502.0,9590.29,33.03,84.93,18769.42,9742.55,2707.0,7035.55
2022-11-01,post,221,6,23.53,80.33,17751.87,9138.77,26.24,80.88,17873.86,9201.53,2445.0,6756.53
2022-12-01,post,226,7,24.34,76.86,17370.69,8971.55,27.43,77.77,17575.9,9067.72,2316.0,6751.72
2023-01-01,post,107,6,33.64,103.26,11049.24,5724.83,39.25,104.55,11186.98,5799.56,1713.0,4086.56
