month,active_customers,churned_customers_365d,churn_rate_365d,measurable
2019-01-01,2,2,100.0,true
2019-02-01,5,5,100.0,true
2019-03-01,9,9,100.0,true
2019-04-01,12,11,91.67,true
2019-05-01,11,11,100.0,true
2019-06-01,22,21,95.45,true
2019-07-01,32,30,93.75,true
2019-08-01,33,32,96.97,true
2019-09-01,26,24,92.31,true
2019-10-01,36,31,86.11,true
2019-11-01,43,40,93.02,true
2019-12-01,50,45,90.0,true
2020-01-01,40,38,95.0,true
2020-02-01,51,49,96.08,true
2020-03-01,77,74,96.1,true
2020-04-01,62,58,93.55,true
2020-05-01,76,69,90.79,true
2020-06-01,78,75,96.15,true
2020-07-01,80,74,92.5,true
2020-08-01,70,65,92.86,true
2020-09-01,76,70,92.11,true
2020-10-01,90,86,95.56,true
2020-11-01,91,89,97.8,true
2020-12-01,115,109,94.78,true
2021-01-01,100,93,93.0,true
2021-02-01,102,95,93.14,true
2021-03-01,102,100,98.04,true
2021-04-01,132,124,93.94,true
2021-05-01,112,105,93.75,true
2021-06-01,119,113,94.96,true
2021-07-01,137,132,96.35,true
2021-08-01,160,150,93.75,true
2021-09-01,139,129,92.81,true
2021-10-01,146,135,92.47,true
2021-11-01,152,142,93.42,true
2021-12-01,154,146,94.81,true
2022-01-01,182,172,94.51,true
2022-02-01,162,149,91.98,true
2022-03-01,187,175,93.58,true
2022-04-01,181,170,93.92,true
2022-05-01,173,160,92.49,true
2022-06-01,185,170,91.89,true
2022-07-01,192,176,91.67,true
2022-08-01,221,209,94.57,true
2022-09-01,195,180,92.31,true
2022-10-01,223,205,91.93,true
2022-11-01,226,210,92.92,true
2022-12-01,233,215,92.27,true
2023-01-01,277,258,93.14,true
2023-02-01,258,244,94.57,true
2023-03-01,278,257,92.45,true
2023-04-01,259,246,94.98,true
2023-05-01,310,286,92.26,true
2023-06-01,276,257,93.12,true
2023-07-01,301,286,95.02,true
2023-08-01,312,295,94.55,true
2023-09-01,316,301,95.25,true
2023-10-01,328,298,90.85,true
2023-11-01,366,344,93.99,true
2023-12-01,309,286,92.56,true
2024-01-01,385,357,92.73,true
2024-02-01,339,316,93.22,true
2024-03-01,365,337,92.33,true
2024-04-01,357,328,91.88,true
2024-05-01,419,384,91.65,true
2024-06-01,408,382,93.63,true
2024-07-01,469,424,90.41,true
2024-08-01,458,415,90.61,true
2024-09-01,429,393,91.61,true
2024-10-01,476,422,88.66,true
2024-11-01,500,462,92.4,true
2024-12-01,502,450,89.64,true
2025-01-01,503,458,91.05,true
2025-02-01,505,454,89.9,true
2025-03-01,512,457,89.26,true
2025-04-01,594,534,89.9,true
2025-05-01,656,585,89.18,true
2025-06-01,560,503,89.82,true
2025-07-01,621,534,85.99,true
2025-08-01,628,558,88.85,true
2025-09-01,660,593,89.85,false
2025-10-01,726,633,87.19,false
2025-11-01,731,652,89.19,false
2025-12-01,768,677,88.15,false
2026-01-01,840,749,89.17,false
2026-02-01,751,669,89.08,false
2026-03-01,903,803,88.93,false
2026-04-01,924,854,92.42,false
2026-05-01,991,921,92.94,false
2026-06-01,1102,1035,93.92,false
2026-07-01,1261,1194,94.69,false
2026-08-01,1415,1415,100.0,false
